Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,10,34,32.5,21.9,245.0,20.0,461.41,104.21,28.5,80.0,2021-10-01,993.52,1,4
2021,10,35,22.75,25.0,369.9,20.0,210.05,110.57,23.15,40.0,2021-10-01,821.42,2,4
2021,10,36,27.55,17.18,237.4,16.0,461.41,109.05,25.33,64.0,2021-10-01,957.92,2,4
2021,10,37,19.86,11.38,249.9,22.0,437.78,106.5,36.0,61.5,2021-10-01,944.92,2,4
2021,10,38,21.3,32.43,185.0,19.5,461.41,108.61,27.08,83.65,2021-10-01,938.9800000000001,2,4
2021,10,39,29.0,23.5,389.0,20.0,461.41,105.81,24.0,45.33,2021-10-01,1098.05,1,4
2021,10,40,38.9,16.78,320.0,19.0,437.78,103.55,32.0,55.0,2021-10-01,1023.01,1,4
2021,10,41,20.5,23.0,299.0,14.0,461.41,104.68,36.0,94.0,2021-10-01,1052.5900000000001,1,4
2021,10,42,25.08,11.0,280.0,16.28,378.71,106.08,28.06,70.18,2021-10-01,915.3899999999999,3,4
2021,10,43,7.75,23.5,150.0,20.19,378.71,106.24,33.33,94.0,2021-10-01,813.72,3,4
2021,10,44,18.5,15.93,234.68,20.0,461.41,114.47,31.61,45.15,2021-10-01,941.75,2,4
2021,10,45,26.13,20.5,200.0,20.0,378.71,100.19,44.0,69.0,2021-10-01,858.53,3,4
2021,10,46,20.99,20.11,314.0,12.85,297.59,112.7,30.89,125.0,2021-10-01,934.13,2,4
2021,10,47,42.9,23.0,208.0,16.0,461.41,105.19,25.0,59.0,2021-10-01,940.5,1,4
2021,10,48,24.48,24.5,250.0,22.0,378.71,107.46,53.89,52.5,2021-10-01,913.5400000000001,3,4
2021,10,49,25.15,17.63,227.5,14.0,378.71,103.73,32.0,99.0,2021-10-01,897.72,3,4
2021,10,50,23.5,21.0,194.0,22.0,168.35,107.31,29.0,159.0,2021-10-01,724.1600000000001,3,4
2021,10,51,30.0,21.75,190.0,15.0,461.41,102.26,22.0,69.0,2021-10-01,911.4200000000001,2,4
2021,10,52,36.4,23.0,170.0,18.0,461.41,104.22,35.0,64.0,2021-10-01,912.0300000000001,2,4
2021,10,53,23.0,21.5,309.0,20.5,461.41,107.11,26.9,59.03,2021-10-01,1028.45,1,4
2021,10,54,22.93,19.0,140.0,19.0,378.71,103.1,28.0,50.0,2021-10-01,760.74,3,4
2021,10,55,26.5,14.5,185.0,16.0,461.41,104.57,34.44,68.0,2021-10-01,910.4200000000001,2,4
